A,ా
I,ి
II,ీ
U,ు
UU,ూ
RU,ృ
RRU,ౄ
AY,ె
AYE,ే
AI,ై
O,ొ
OO,ో
AU,ౌ
LU,ౢ
LLU,ౣ
ZERO,0
ONE,1
TWO,2
THREE,3
FOUR,4
FIVE,5
SIX,6
SEVEN,7
EIGHT,8
NINE,9
KA,క
KHA,ఖ
GA,గ
GHA,ఘ
NGA,ఙ
CA,చ
CHA,ఛ
JA,జ
JHA,ఝ
NYA,ఞ
TA,ట
THA,ఠ
DA,డ
DHA,ఢ
NNA,ణ
TA,త
THA,థ
DA,ద
DHA,ధ
NA,న
PA,ప
PHA,ఫ
BA,బ
BHA,భ
MA,మ
YA,య
RA,ర
RRA,ఱ
LA,ల
LLA,ళ
VA,వ
SHA,శ
SSA,ష
SA,స
HA,హ
MM,ఁ
UM,ం
HA,ః
ER,్
OM,ॐ
A,అ
AA,ఆ
I,ఇ
II,ఈ
U,ఉ
UU,ఊ
RU,ఋ
VOCALIC L,ఌ
AY,ఎ
AYE,ఏ
AI,ఐ
O,ఒ
OO,ఓ
AU,ఔ
RRU,ౠ
LLU,ౡ
